Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市信義區永吉路278巷58弄2號,(02)27568202        ,965714              ,信吉,,,(02)27569832        ,121574050.0,25043477.0,台北市,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.57405,25.043477,7-11
台北市信義區虎林街222巷7號9號1樓,(02)27277739        ,158738              ,信林,,,(02)27278220        ,121577097.411209,25037269.9012747,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.577097411209,25.0372699012747,7-11
台北市信義區松勤街100號1樓,(02)27208565        ,119054              ,信運,,,(02)27206815        ,121566679.0,25031868.0,台北市,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.566679,25.031868,7-11
台北市信義區嘉興街181巷21號,(02)27328151        ,965194              ,信嘉,,,(02)27325703        ,121557473.0,25026175.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.557473,25.026175,7-11
台北市信義區松德路200巷10號,(02)23454771        ,975618              ,信德,,,(02)23455160        ,121573592.0,25034775.0,台北市,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.573592,25.034775,7-11
台北市信義區吳興街346號348號,(02)27225240        ,970901              ,信醫,,,(02)27229305        ,121566349.0,25025814.0,台北市,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.566349,25.025814,7-11
台北市信義區永吉路32號,(02)27627314        ,961974              ,革新,,,(02)27688917        ,121568897.0,25045624.0,台北市,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,信義區,121.568897,25.045624,7-11
台北市信義區福德街249號,(02)27597474        ,854580              ,留公,,,(02)27591442        ,121585974.0,25038778.0,台北市,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.585974,25.038778,7-11
台北市信義區基隆路一段333號B3,(02)27576847        ,165987              ,國貿,,,(02)27576752        ,121560995.0,25034597.0,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.560995,25.034597,7-11
台北市信義區崇德街104號106號1樓,(02)23784240        ,122212              ,崇德,,,(02)87324275        ,121555603.395125,25024081.855584,台北市,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.555603395125,25.024081855584,7-11
台北市信義區忠孝東路5段617號,(02)87853031        ,161376              ,捷忠,,,(02)87856027        ,121579105.0,25041610.0,台北市,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.579105,25.04161,7-11
